,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
212,dickinson,1.0,US,2019-03-31,68.0,46.88,-102.79,34.0,4.7
213,togur,56.0,RU,2019-03-31,85.0,58.36,82.83,32.51,14.03
214,broken hill,40.0,AU,2019-03-31,43.0,-31.97,141.45,69.8,9.17
215,surami,20.0,GE,2019-03-31,81.0,42.02,43.56,27.47,4.63
216,general pico,92.0,AR,2019-03-31,98.0,-35.66,-63.75,67.16,6.76
217,cherepet,92.0,RU,2019-03-31,69.0,54.12,36.38,39.2,11.18
218,the pas,75.0,CA,2019-03-31,73.0,53.82,-101.24,26.6,5.75
219,atagay,32.0,RU,2019-03-31,85.0,55.1,99.39,42.41,6.42
220,sabha,0.0,LY,2019-03-31,45.0,27.03,14.43,55.55,3.18
221,huntly,8.0,GB,2019-03-31,93.0,57.44,-2.79,39.0,1.12
222,semme,0.0,FR,2019-03-31,57.0,46.2,1.5,48.2,4.7
223,sisimiut,68.0,GL,2019-03-31,100.0,66.94,-53.67,13.16,2.06
224,saint-pierre,0.0,FR,2019-03-31,87.0,48.95,4.24,51.8,10.29
225,batagay-alyta,24.0,RU,2019-03-31,87.0,67.8,130.41,22.43,4.18
226,rio gallegos,90.0,AR,2019-03-31,87.0,-51.62,-69.22,51.8,4.7
227,nome,1.0,US,2019-03-31,81.0,30.04,-94.42,48.2,3.36
228,polovinnoye,0.0,RU,2019-03-31,87.0,54.79,65.99,25.04,12.01
229,saldanha,20.0,PT,2019-03-31,94.0,41.42,-6.55,39.8,2.62
230,hambantota,20.0,LK,2019-03-31,79.0,6.12,81.12,84.2,8.05
231,namibe,0.0,AO,2019-03-31,100.0,-15.19,12.15,77.87,6.2
232,pinsk,0.0,BY,2019-03-31,74.0,52.11,26.1,31.88,10.45
233,osoyoos,20.0,CA,2019-03-31,61.0,49.03,-119.47,53.6,8.05
234,quang ngai,12.0,VN,2019-03-31,75.0,15.12,108.8,82.82,3.06
235,lavrentiya,64.0,RU,2019-03-31,100.0,65.58,-170.99,29.18,5.3
236,sayat,0.0,TM,2019-03-31,56.0,38.78,63.88,42.8,11.41
237,iquique,0.0,CL,2019-03-31,64.0,-20.22,-70.14,68.0,6.93
238,lompoc,1.0,US,2019-03-31,71.0,34.64,-120.46,66.99,4.7
239,ouegoa,88.0,NC,2019-03-31,77.0,-20.34,164.44,81.47,2.73
240,pandan,0.0,PH,2019-03-31,96.0,11.72,122.09,80.66,17.94
241,alugan,8.0,PH,2019-03-31,82.0,12.22,125.48,82.55,12.12
242,nichinan,20.0,JP,2019-03-31,24.0,31.65,131.31,57.2,18.34
243,yinchuan,0.0,CN,2019-03-31,32.0,38.48,106.21,52.76,6.53
244,talara,0.0,PE,2019-03-31,70.0,-4.58,-81.27,73.91,6.31
245,cherskiy,0.0,RU,2019-03-31,68.0,68.75,161.3,16.13,3.96
246,cabo san lucas,5.0,MX,2019-03-31,46.0,22.89,-109.91,75.99,6.93
247,mangaratiba,75.0,BR,2019-03-31,73.0,-22.96,-44.04,77.0,4.7
248,morehead,40.0,US,2019-03-31,54.0,38.18,-83.43,30.2,5.82
249,iwaki,40.0,JP,2019-03-31,45.0,37.05,140.89,54.0,12.75
250,papar,75.0,MY,2019-03-31,49.0,5.73,115.93,89.6,6.93
251,hasaki,75.0,JP,2019-03-31,30.0,35.73,140.83,63.0,8.05
252,kruisfontein,32.0,ZA,2019-03-31,91.0,-34.0,24.73,58.7,22.08
253,shache,0.0,CN,2019-03-31,45.0,38.42,77.24,53.57,4.41
254,valparaiso,1.0,US,2019-03-31,68.0,41.47,-87.06,32.0,2.62
255,les cayes,64.0,HT,2019-03-31,99.0,18.19,-73.75,79.58,6.98
256,umm kaddadah,0.0,SD,2019-03-31,23.0,13.6,26.69,63.38,12.46
257,waycross,90.0,US,2019-03-31,58.0,31.21,-82.35,59.0,4.7
258,narayanganj,40.0,BD,2019-03-31,73.0,23.62,90.5,73.4,9.17
259,folldal,48.0,NO,2019-03-31,72.0,62.14,10.0,10.28,3.51
260,eston,90.0,CA,2019-03-31,59.0,51.15,-108.75,33.8,6.93
261,tezu,92.0,IN,2019-03-31,100.0,27.93,96.16,53.57,1.72
262,soe,0.0,EE,2019-03-31,74.0,57.91,26.05,33.01,13.87
263,whitehorse,20.0,CA,2019-03-31,42.0,60.72,-135.06,46.4,4.7
264,khani,75.0,GE,2019-03-31,46.0,41.96,42.96,50.0,23.04
265,pisco,12.0,PE,2019-03-31,78.0,-13.71,-76.2,73.4,4.7
266,moree,0.0,AU,2019-03-31,33.0,-29.46,149.84,75.2,10.29
267,awjilah,0.0,LY,2019-03-31,74.0,29.14,21.3,46.91,3.06
268,roblin,44.0,CA,2019-03-31,83.0,51.23,-101.35,24.41,7.76
269,moerai,88.0,PF,2019-03-31,100.0,-22.43,-151.33,77.69,20.74
270,safranbolu,88.0,TR,2019-03-31,94.0,41.25,32.69,30.17,2.39
271,kaspiyskiy,0.0,RU,2019-03-31,96.0,45.39,47.37,42.23,17.05
272,codrington,40.0,AU,2019-03-31,47.0,-28.95,153.24,78.01,9.17
273,benguela,20.0,AO,2019-03-31,100.0,-12.58,13.4,79.94,5.3
274,bambous virieux,20.0,MU,2019-03-31,88.0,-20.34,57.76,77.0,6.93
275,tommot,68.0,RU,2019-03-31,63.0,58.97,126.27,27.56,3.51
276,oak ridge,1.0,US,2019-03-31,51.0,36.01,-84.27,42.8,5.82
277,bonfim,0.0,BR,2019-03-31,77.0,-20.33,-44.24,68.0,3.36
278,mount gambier,90.0,AU,2019-03-31,55.0,-37.83,140.78,62.6,5.82
279,noyabrsk,56.0,RU,2019-03-31,92.0,63.2,75.45,24.41,10.78
280,guerrero negro,48.0,MX,2019-03-31,29.0,27.97,-114.04,71.66,10.56
281,axochiapan,0.0,MX,2019-03-31,28.0,18.5,-98.75,82.99,1.99
282,muzhi,0.0,RU,2019-03-31,78.0,65.4,64.7,23.24,11.23
283,nioro,0.0,GM,2019-03-31,39.0,13.79,-15.05,77.06,11.12
284,luderitz,12.0,NA,2019-03-31,83.0,-26.65,15.16,59.96,18.84
285,guigue,88.0,VE,2019-03-31,96.0,10.09,-67.78,72.2,3.74
286,ilhabela,76.0,BR,2019-03-31,98.0,-23.78,-45.36,76.7,14.7
287,roald,48.0,NO,2019-03-31,93.0,62.58,6.12,39.99,19.46
288,bathsheba,20.0,BB,2019-03-31,73.0,13.22,-59.52,77.0,13.87
289,quatre cocos,20.0,MU,2019-03-31,88.0,-20.21,57.76,77.0,6.93
290,nambour,32.0,AU,2019-03-31,73.0,-26.63,152.96,77.0,1.99
291,altamont,1.0,CA,2019-03-31,100.0,49.4,-98.5,32.0,3.36
292,marbella,75.0,ES,2019-03-31,100.0,36.51,-4.89,59.0,4.7
293,abeche,0.0,TD,2019-03-31,20.0,13.83,20.83,72.2,10.78
294,malayal,20.0,PH,2019-03-31,70.0,7.21,121.94,86.0,5.82
295,jaru,0.0,BR,2019-03-31,93.0,-10.43,-62.48,74.63,1.72
296,creel,0.0,MX,2019-03-31,37.0,27.75,-107.63,52.13,4.41
297,kamsack,20.0,CA,2019-03-31,68.0,51.56,-101.9,26.6,5.82
298,nurota,0.0,UZ,2019-03-31,56.0,40.56,65.69,41.0,11.41
299,jasper,32.0,US,2019-03-31,80.0,33.83,-87.28,46.0,7.65
300,istok,0.0,PL,2019-03-31,70.0,52.66,23.48,32.0,8.95
301,ula,75.0,TR,2019-03-31,100.0,37.1,28.42,50.0,1.95
302,mopipi,0.0,BW,2019-03-31,43.0,-21.2,24.86,72.56,9.55
303,san blas,5.0,MX,2019-03-31,77.0,21.54,-105.29,66.2,4.7
304,tuatapere,76.0,NZ,2019-03-31,77.0,-46.13,167.69,51.01,4.0
305,harboore,0.0,DK,2019-03-31,92.0,56.62,8.18,30.99,2.24
306,padang,40.0,ID,2019-03-31,78.0,-0.92,100.36,82.4,2.24
307,aswan,0.0,EG,2019-03-31,78.0,24.09,32.9,45.47,3.62
308,vuktyl,88.0,RU,2019-03-31,80.0,63.86,57.31,27.38,4.29
309,khandyga,0.0,RU,2019-03-31,59.0,62.65,135.58,27.65,3.51
310,barstow,1.0,US,2019-03-31,27.0,31.46,-103.39,50.0,10.29
311,sabancuy,8.0,MX,2019-03-31,96.0,18.97,-91.18,78.68,18.16
312,tucuman,24.0,PE,2019-03-31,80.0,-17.17,-70.89,58.25,2.39
313,klaksvik,80.0,FO,2019-03-31,86.0,62.23,-6.59,41.0,17.22
314,onguday,24.0,RU,2019-03-31,71.0,50.75,86.14,39.89,1.61
315,lorengau,88.0,PG,2019-03-31,94.0,-2.02,147.27,84.35,11.56
316,masalli,20.0,KR,2019-03-31,21.0,35.34,128.62,51.8,16.11
317,kroya,20.0,ID,2019-03-31,85.0,-6.5,108.06,84.71,2.73
318,patos,80.0,BR,2019-03-31,96.0,-7.03,-37.28,70.76,3.29
319,lithakia,20.0,GR,2019-03-31,81.0,37.72,20.83,53.01,2.24
320,juneau,1.0,US,2019-03-31,34.0,58.3,-134.42,53.6,3.36
321,morondava,0.0,MG,2019-03-31,100.0,-20.3,44.28,71.03,1.5
322,flinders,75.0,AU,2019-03-31,63.0,-34.58,150.85,69.01,6.93
323,lulea,0.0,SE,2019-03-31,63.0,65.58,22.15,26.6,9.17
324,sabang,100.0,PH,2019-03-31,100.0,13.72,123.58,76.25,6.42
325,lata,0.0,IN,2019-03-31,58.0,30.78,78.62,52.49,2.06
326,inhambane,0.0,MZ,2019-03-31,100.0,-23.87,35.38,68.24,3.74
327,riyadh,0.0,SA,2019-03-31,56.0,24.63,46.72,69.8,5.82
328,rafai,12.0,CF,2019-03-31,75.0,4.95,23.92,74.18,8.43
329,sao filipe,0.0,CV,2019-03-31,98.0,14.9,-24.5,70.31,14.7
330,conroe,1.0,US,2019-03-31,100.0,30.31,-95.46,48.99,4.97
331,avera,1.0,US,2019-03-31,57.0,33.19,-82.53,55.4,5.82
